Review Text,Label
"sir okay armygreen shorts nice""""",1
"di pareha yong mga size nila may sobrang liit""""",0
"super worth it ang ganda Sombra grabi order na kayo di kayo magsisisisis sobranh ganda order ulit ako at ang bilis dumating""""",1
"ganda po salamat""""",1
"maayos pagkadeliver maganda den sya""""",0
"ang gnda nang short nagustohan nang binigyan ko salamat din sa delivery guy ang bait Niya Thank you po kuya""""",0
"maganda sya medyo manipis nga lang ..""""",0
"manipis pla at ska dami himulmol ng sinulid di maganda ang tahi.. di nko uulit s inyo... s madaling salita PANGET NG GAWA""""",0
"madali maponit""""",1
"Unsatisfied. Poor quality. easily torn.""""",0
"Thank You ang Ganda niyaUmorder ulit ako ng 50pcs sana my free na kahit 3 pcs hehehe""""",1
"Good quality at maayos naman ang pagkakabalot. thank you seller.""""",0
"ganda niyatry lang oorder ulit. kala ko malapad Hindi pala. pero ang ganda Saka madikit""""",0
"GandaGanda GandagandaGandaGanda GandaGandaGanda""""",1
"ang ganda superrrrr...makapit pa sa dingding kahit pa rough ang dingding...thanks seller at sa mamang nag deliver..order ulit aq""""",1
"Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na""""",0
"I love the color.. I like it so much.. kaso sobrang tagal ng delivery .. umabot ng.3days bago dumating yung order ko bago nadeliver""""",0
"Satisfied""""",1
"nice cute satisfied""""",1
"Maganda yung quality nya. Waterproof""""",0
"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan""""",0
"I'm sorry but I expect its like what I bought at the mall last week regarding the size... Masyado po palang maliit lang.. May ganun pala na size? Di ko gusto ang size poh.. Subra liit niya""""",0
"mint green order q dumatng light green...makaiba 2loy ang qlay....ok na rin hassle kc magbalik...manipis lng xa pero madikit...sad pti ung pink light ang ibngy""""",0
"12pcs order Ang binigay 3pcs Ang mahal na ng shipping Ang mahal pa pala Neto 60 Isa pala! kaloka!""""",0
"Wala Naman pong problema maganda Naman po""""",0
"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan""""",0
"12pcs order Ang binigay 3pcs Ang mahal na ng shiffing Ang mahal pa pala Neto 60 Isa pala! kaloka!""""",0
"Wala Naman pong problema maganda Naman po""""",0
"baka gusto ninyo makatikim ng mura sa panloloko ninyo? post ninyo na size iba sa actual size nq dumating.""""",0
"Thank u seller..I recvd the items in gud condition.. Npakganda ng product na 2 nkakasosyal ng bedroom nmin..love it so much""""",0
"sobrang sulit sa presyo nya na 30gb na no expiration. wala pangamba maubusan ng data lagi ka updated sa mga social message kapag nasa byahe. pang 2nd order ko na ito. salamat sa GOMO Sim""""",0
"tested for my piso wifi... and it's working... I got 15 - 20 mbps download speed and a upload speed of 5 - 15 mbps... hope there's always unli on this promo...""""",0
"ok naman mdyo yupi lang yung packaging.. pero oks lang mhlga is andun yung sim at data..di ko nabubuksan kc pang benta ko.. tnx sa rider..""""",0
"received na nko ang parcel.. ang rider ky vrry good pd maikog ko ky ghatod gjd gihapon nja maski sgeg uwan.uwan. Thankyou kuya rider and lazadaaaaa""""",0
"Video and photo not related i just received the item and working thank u gomo and lazada delivery fast then""""",0
"We don't stop. We GOMO! The game-changer has finally arrived. Convert your data into calls and texts. Order your SIM today. No Expiry Data. 5G and LTE Ready. Free Delivery. Highlights: Free Delivery Available App Available""""",1
"Better than Dito but still inferior to Smart in my current area. Yet to check the signal outside Manila. Shipping/packing/handling could've been better as seen on the sim housing. I noticed na kapag naka Wi-Fi malakas ang signal but as soon as the data is turned on signal deteriorates.""""",0
"He was also a man who was as well known for the three-thousand-dollar Italian suits which draped his well-fed frame as for his remarkable string of legal victories. I simply stood there paralyzed by the shock of what I had just witnessed. thanks for letting me know and internet connection ko yung i please thank you for internet call please call back at work and check your internet conducting.""""",0
"Maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda""""",1
"cute po sya""""",1
"Gumagana sya and fast charging din hopefully pang matagalan""""",0
